control,empre,alfanum,l1,l2,l3,l4,l5,l6,QR,A,B,POS,CAMBIO,IMA1,IMA2,IMA3,IMA4,IMA5,PAG,Bobina
34850890,CF,7SURCah, , ,I,H, ,F,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850890",A4,A0,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,350589,36
34850891,CF,D0neQVu,E,V,I, , , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850891",A4,D1,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350590,36
34850892,CF,A7gkdNo,H,A,R, , , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850892",E4,B2,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350591,36
34850893,CF,6fbY9A3,N, ,G,K, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850893",C4,B3,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350592,36
34850894,CF,MzPupJ2,Q, ,P,R, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850894",C4,B4,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,350593,36
34850895,CF,kNCW8w7,H, , ,G,C, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850895",B4,A5,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350594,36
34850896,CF,R0KP9ZG,V, , ,F,L, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850896",B4,A6,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350595,36
34850897,CF,2tFYSx7,G, , , ,V,T,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850897",B4,D7,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350596,36
34850898,CF,14JaU59, , ,N,T, ,L,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850898",B4,A8,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350597,36
34850899,CF,qS8rtPV,B,I, ,Q, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850899",E4,A9,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350598,36
34850900,CF,1XBfDjk,V, , ,K, ,O,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850900",A5,B0,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350599,36
34850901,CF,WAtHF4f, ,V,J,D, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850901",E5,E1,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,350600,36
34850902,CF,2AyFs30, ,P, ,Z,G, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850902",E5,E2,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350601,36
34850903,CF,UZZp5S0, ,Y, ,R,X, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850903",D5,D3,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,350602,36
34850904,CF,T1g56Qw,F, ,H, ,L, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850904",A5,D4,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350603,36
34850905,CF,56ng46M, ,Y,Y,Y, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850905",E5,A5,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350604,36
34850906,CF,WRFSvv8,T, , ,X,W, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850906",D5,C6,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350605,36
34850907,CF,KpwcoE2, ,Q,K,R, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850907",A5,B7,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350606,36
34850908,CF,gZD52Z3,I, , ,J,X, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850908",B5,E8,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350607,36
34850909,CF,t4R8zE7,E,H, , , ,O,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850909",B5,D9,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350608,36
34850910,CF,JJ0rRJy,L, , , ,B,Y,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850910",B6,C0,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350609,36
34850911,CF,fsfw18y,Y, , , ,U,R,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850911",E6,A1,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350610,36
34850912,CF,N3ehw3Z, , , ,R,M,Q,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850912",C6,A2,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350611,36
34850913,CF,7S69QxT, ,W,Q, , ,R,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850913",C6,E3,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350612,36
34850914,CF,RD4VNk9, ,W,E, , ,P,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850914",C6,D4,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350613,36
34850915,CF,w8bnFfu,Z, , ,V, ,L,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850915",C6,A5,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350614,36
34850916,CF,Eh1poBy, ,D,M,C, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850916",D6,C6,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350615,36
34850917,CF,OhFdx5z,I,J, , ,O, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850917",D6,C7,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350616,36
34850918,CF,7PFz2hd,A,F, , , ,B,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850918",E6,D8,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350617,36
34850919,CF,d9YqBZf, , , ,Q,I,T,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850919",B6,E9,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350618,36
34850920,CF,0WhnOCD,L, ,R,K, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850920",D7,B0,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350619,36
34850921,CF,UmRz57E,K, , , ,H,K,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850921",E7,C1,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350620,36
34850922,CF,jjWaF2s, ,E, , ,O,G,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850922",E7,C2,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350621,36
34850923,CF,zZr6uFK,P, ,B,W, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850923",E7,E3,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350622,36
34850924,CF,R56NaDo,E, ,S,D, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850924",C7,C4,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350623,36
34850925,CF,e15frNj, ,P,F,F, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850925",E7,D5,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350624,36
34850926,CF,E3cNqcw,K, ,Q,I, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850926",D7,D6,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350625,36
34850927,CF,cFoqZ2k, ,B,A, ,P, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850927",C7,A7,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350626,36
34850928,CF,7Krpfe9,E, ,M, , ,B,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850928",E7,A8,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350627,36
34850929,CF,2p8J3Np,X, , ,M,M, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850929",D7,D9,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350628,36
34850930,CF,w2fxTeb,M, , , ,R,F,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850930",E8,A0,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350629,36
34850931,CF,x3Gm6yJ, ,P,L,R, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850931",B8,D1,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350630,36
34850932,CF,UBzP9jq, , ,R,R, ,K,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850932",E8,E2,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,350631,36
34850933,CF,F9bexJe,W,Y, , , ,J,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850933",A8,C3,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350632,36
34850934,CF,fsEV4O5, ,Q,U, ,G, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850934",A8,B4,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350633,36
34850935,CF,YMR5qKp,B,E, ,I, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850935",B8,C5,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350634,36
34850936,CF,bFKv6SE, ,G,D, ,W, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850936",C8,C6,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350635,36
34850937,CF,0W183tH, ,F, , ,I,F,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850937",A8,C7,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350636,36
34850938,CF,9y87oj5,J, ,H, , ,E,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850938",D8,E8,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350637,36
34850939,CF,J7TPj2K, , ,Q,Q,O, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850939",D8,E9,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350638,36
34850940,CF,9QVsuKb,X,O, , ,U, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850940",C9,D0,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350639,36
34850941,CF,r4MbGNQ, , ,S,M, ,H,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850941",C9,B1,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350640,36
34850942,CF,m4kPq99, ,N,F,H, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850942",C9,C2,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,350641,36
34850943,CF,YK4ZXxy, ,E, ,D,Y, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850943",D9,B3,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350642,36
34850944,CF,Pqn5ZZh, ,N,E,I, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850944",B9,D4,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,350643,36
34850945,CF,b1Z4ZJ1, ,C,U, , ,C,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850945",B9,A5,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350644,36
34850946,CF,qo2Jk5t, ,B, , ,N,T,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850946",E9,A6,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,350645,36
34850947,CF,7vOHTRh, , , ,E,O,I,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850947",D9,C7,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350646,36
34850948,CF,9o5t25D, ,S,A,Z, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850948",E9,D8,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,350647,36
34850949,CF,nxroda3, ,P,Y, , ,I,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850949",A9,C9,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350648,36
34850950,CF,faqo0By,H, , ,S, ,W,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850950",E0,B0,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,350649,36
34850951,CF,5zDroA0, ,Q, ,Y, ,R,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850951",C0,C1,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350650,36
34850952,CF,XWx2bFA,U,T, , ,Z, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850952",A0,E2,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350651,36
34850953,CF,to5OsJm,R, , ,H,X, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850953",D0,D3,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350652,36
34850954,CF,zeB63hv,S,L,T, , , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850954",E0,A4,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,350653,36
34850955,CF,9PafdUo,K,U, , ,A, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850955",B0,B5,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350654,36
34850956,CF,3hpahUQ,J, , ,Q, ,P,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850956",C0,C6,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350655,36
34850957,CF,5YSkjOZ, ,E, ,H,X, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850957",C0,D7,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,350656,36
34850958,CF,C7h2a3J, ,X,S,R, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850958",A0,C8,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350657,36
34850959,CF,KgnXMb5, , ,D, ,B,B,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850959",B0,D9,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350658,36
34850960,CF,uT9793n, ,M,O,U, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850960",C1,B0,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350659,36
34850961,CF,pe7mMfU,Z,O, ,Y, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850961",D1,D1,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350660,36
34850962,CF,79NRzkh, , ,D,W,G, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850962",E1,E2,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350661,36
34850963,CF,fN0myvQ,T,N,K, , , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850963",E1,B3,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350662,36
34850964,CF,vYj4CA9,O, ,G, ,I, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850964",C1,E4,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350663,36
34850965,CF,booP6Cd, , ,D,L,J, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850965",D1,A5,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350664,36
34850966,CF,11HUcC1, ,F, ,B,G, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850966",E1,A6,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350665,36
34850967,CF,E6m6Jd4,Q,U, , ,V, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850967",B1,C7,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350666,36
34850968,CF,V1Ym450, ,M, , ,C,G,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850968",A1,B8,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350667,36
34850969,CF,2uH3cfN,Z, ,O, ,W, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850969",E1,E9,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350668,36
34850970,CF,WSJ7UGx, , , ,G,Q,L,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850970",D2,C0,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350669,36
34850971,CF,NZ0dOJw, ,P, ,U, ,E,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850971",D2,A1,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350670,36
34850972,CF,hnBch31,U, ,S,H, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850972",E2,A2,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350671,36
34850973,CF,yP6B2jy, ,W,O,H, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850973",C2,B3,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350672,36
34850974,CF,EA0gHbB, ,I, ,D, ,N,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850974",A2,B4,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350673,36
34850975,CF,JEqWx3S, , ,P, ,N,K,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850975",D2,B5,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350674,36
34850976,CF,sBW0dHx,M, , ,Z,O, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850976",C2,C6,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350675,36
34850977,CF,g5JV1vN, ,L,C,Z, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850977",B2,A7,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350676,36
34850978,CF,QF6X6tC, ,W,N,C, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850978",C2,C8,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350677,36
34850979,CF,ePh9DeH,I,B, , , ,G,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850979",B2,A9,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350678,36
34850980,CF,Z2ZsZrS,P, , ,C,T, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850980",D3,E0,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350679,36
34850981,CF,PHGu5aw, ,C, , ,R,T,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850981",E3,B1,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350680,36
34850982,CF,C7dgsFN,Z, , , ,D,N,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850982",D3,C2,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350681,36
34850983,CF,bDaZQg1,J, , ,Y, ,D,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850983",D3,A3,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350682,36
34850984,CF,vJvUr4t, ,O,A,I, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850984",D3,B4,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350683,36
34850985,CF,n2zuv6X,N, , , ,K,Z,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850985",C3,D5,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350684,36
34850986,CF,nPb1UQf, ,Z, ,O, ,R,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850986",B3,A6,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350685,36
34850987,CF,oQTH5hA, , ,Q,D,F, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850987",A3,A7,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350686,36
